Rank,Name,Country,Established,Academic Staff,Number of Students,Minimum Tuition cost,Volumes in the library,Endowment
177, Loyola University Chicago,us,1870,784,17159,"$45,000.00",925437,$1.15B
178, University of Rhode Island,us,1892,675,18061,"$15,000.00",934078,$0.203B
179, Santa Clara University,us,1851,911,9178,"$50,000.00",562054,$1.47B
180, University of Idaho,us,1889,,11849,"$7,500.00",893707,$0.465B
181, Northern Arizona University,us,1899,1115,28194,"$10,000.00",574260,$0.1982B
182, Indiana University-Purdue University Indianapolis,us,1969,2500,29390,"$10,000.00",2584030,$1.15B
183, Université du Québec à Montréal,ca,1969,3267,39427,"$1,000.00",,$0.1982B
184, University of Wyoming,us,1886,1002,10813,"$5,000.00",1580593,$0.7761B
185, University of Louisville,us,1798,1787,23225,"$10,000.00",464874,$0.918B
186, University of Missouri-Kansas City,us,1933,661,15327,"$10,000.00",820086,$0.20414B
187, Swarthmore College,us,1864,207,1699,"$50,000.00",695831,$2.7B
188," Binghamton University, State University of New York",us,1946,768,18454,"$10,000.00",1694157,$0.18B
189, The University of Maine,us,1865,578,10878,"$10,000.00",1598021,$0.4449B
190, Grand Canyon University,us,1949,6351,101816,"$15,000.00",39905,
191, Wake Forest University,us,1834,,9121,"$50,000.00",975291,$1.86B
192, University of Mississippi,us,1848,,24710,"$7,500.00",1507663,$0.84B
193, Bowling Green State University,us,1910,1982,20395,"$12,500.00",858757,$0.1557B
194, Middle Tennessee State University,us,1911,1223,20488,"$7,500.00",658925,$0.1089B
195, Saint Louis University,us,1818,2022,15204,,,$1.71B
196," University of Maryland, Baltimore",us,1807,2321,6239,"$10,000.00",246706,$1.5B
197, Western Michigan University,us,1903,751,17605,"$12,500.00",1513540,$0.6402B
198, Baylor College of Medicine,us,1900,5486,1577,,122927,$1.6B
199, The New School,us,1919,2230,10186,"$50,000.00",288816,$0.3935B
200, Nova Southeastern University,us,1964,1676,20576,"$30,000.00",520098,$0.185B
